,offensiveness_score,old_score_perspective,new_score_perspective,bert_cos_similarity
0,-0.083,0.02072494,0.011120965,0.9245197176933287
1,-0.022,0.15158679,0.0466155,0.8975871205329895
2,-0.146,0.2412222,0.051563308,0.7927645444869995
3,-0.083,0.09958932,0.049089402,0.881036102771759
4,-0.042,0.09958932,0.10175867,0.904462456703186
5,-0.021,0.028385026,0.019728716,0.9061421751976012
6,-0.174,0.029445656,0.024849601,0.9420774579048156
7,-0.229,0.11316007,0.02826718,0.8366350531578064
8,0.0,0.11109332,0.039226998,0.8431834578514099
9,0.098,0.015958898,0.009110395,0.9007078409194946
10,-0.083,0.11067997,0.056263726,0.8983928561210632
11,-0.062,0.08320791,0.041915078,0.8450347781181335
12,-0.062,0.16851899,0.0466155,0.8804992437362671
13,-0.021,0.026145924,0.027324399,0.8400468826293945
14,-0.083,0.04216247,0.016210219,0.9240545034408568
15,-0.188,0.147767,0.009550206,0.8329213261604309
16,0.083,0.112953395,0.024731753,0.8430008888244629
17,-0.104,0.11440011,0.055768944,0.9428147077560424
18,0.188,0.24603334,0.11078331,0.9134994149208068
19,0.175,0.024613906,0.020842785,0.9567880630493164
20,0.0,0.09655223,0.08320791,0.9548242092132568
21,0.042,0.04240986,0.038519915,0.9289577603340148
22,-0.354,0.016712861,0.05354243,0.6953486800193787
23,-0.042,0.022021262,0.022964042,0.9201555848121644
24,0.417,0.20126031,0.11078331,0.8682866096496582
25,-0.417,0.015204934,0.014011159,0.9620421528816224
26,-0.042,0.10870059,0.04834723,0.962851107120514
27,-0.109,0.09351514,0.07212844,0.9493585228919984
28,-0.458,0.009927189,0.019351736,0.7864071130752563
29,0.083,0.012566062,0.009738698,0.944106936454773
30,0.083,0.04067813,0.018095128,0.9685783386230468
31,0.292,0.035220183,0.041915078,0.9428964853286744
32,-0.104,0.25462922,0.22712809,0.9583094716072084
33,-0.104,0.09351514,0.054284602,0.909677803516388
34,0.104,0.16591948,0.069754265,0.91959148645401
35,-0.125,0.024731753,0.01834645,0.8763890862464905
36,-0.146,0.014702292,0.015581916,0.938812792301178
37,0.188,0.11181668,0.050573748,0.9602296352386476
38,-0.042,0.035691574,-1.0,0.8590763807296753
39,-0.188,0.08004235,0.013068704,0.9029226899147034
40,-0.021,0.04166769,0.040430736,0.94893616437912
41,0.191,0.1460314,0.0969861,0.9610799551010132
42,0.167,0.04290464,0.037105743,0.9598965644836426
43,-0.062,0.11057663,0.05750068,0.9180060625076294
44,-0.043,0.071337044,0.036634352,0.9144386053085328
45,0.25,0.23812068,0.03015274,0.8571463823318481
46,0.021,0.030859824,0.030859824,0.8949949145317078
47,-0.125,0.044388983,0.035691574,0.8992770910263062
48,-0.681,0.014513801,0.03357032,0.6931180953979492
49,-0.043,0.03875561,-1.0,0.9021791219711304
50,-0.261,0.05378982,0.113263406,0.8950562477111816
51,-0.146,0.034513097,0.027442247,0.9348846673965454
52,-0.106,0.029445656,0.016838523,0.8874974846839905
53,0.022,0.038519915,0.03309893,0.9288273453712464
54,-0.085,0.08083374,0.03309893,0.9807211756706238
55,-0.087,0.04290464,0.01834645,0.8178949356079102
56,0.021,0.03734144,0.035691574,0.9539026021957396
57,0.104,0.06025757,0.049584184,0.93027925491333
58,0.021,0.13388206,0.03781283,0.887975811958313
59,0.083,0.03781283,0.035691574,0.8344577550888062
60,0.042,0.06817148,0.071337044,0.9409464597702026
61,0.292,0.11336674,0.02685301,0.9341357946395874
62,0.104,0.15158679,0.06500591,0.9427872896194458
63,-0.167,0.07212844,0.055521555,0.8657575845718384
64,0.043,0.017466826,0.013697007,0.9055237770080566
65,-0.062,0.23667802,0.11129999,0.916232705116272
66,0.062,0.1893425,0.09655223,0.8857078552246094
67,-0.087,0.02308189,0.011623607,0.9206323623657228
68,-0.109,0.11161,0.14256015,0.9309778213500975
69,-0.042,0.09611836,0.09958932,0.9660438299179076
70,-0.043,0.022021262,0.025792383,0.9499969482421876
71,0.062,0.2396185,0.11347008,0.9497552514076232
72,-0.5,0.037577134,0.0143253105,0.7735280990600586
73,0.159,0.2330714,0.06263174,0.7837958335876465
74,0.043,0.20032968,0.056263726,0.9285584688186646
75,0.042,0.3969567,0.17891699,0.9239131808280944
76,0.042,0.032863233,0.038991302,0.9060943722724916
77,-0.062,0.069754265,0.018974753,0.889595091342926
78,0.125,0.07371122,0.063423134,0.9326480031013488
79,0.042,0.059974585,0.079250954,0.9475837349891664
80,-0.083,0.06500591,0.03592727,0.9637563824653624
81,-0.062,0.02873857,0.022846194,0.922332763671875
82,0.271,0.45396814,0.034984488,0.946318745613098
83,0.083,0.08479069,0.034984488,0.9039337635040284
84,0.104,0.19870108,0.079250954,0.9119775295257568
85,-0.043,0.51869136,0.034984488,0.8763576745986938
86,-0.167,0.061444655,0.055274166,0.8779967427253723
87,0.375,0.8629672,0.030859824,0.8389537334442139
88,0.042,0.11171334,0.06421452,0.9695959091186525
89,-0.167,0.17285149,0.055274166,0.8712284564971924
90,0.149,0.28674445,0.08716487,0.907025158405304
91,-0.5,0.037577134,0.024967449,0.869564950466156
92,-0.167,0.17025198,0.029563503,0.8915567398071289
93,-0.217,0.08083374,0.026499467,0.91180157661438
94,-0.447,0.10566349,0.045873325,0.9119436740875244
95,-0.426,0.034041706,0.026499467,0.8658875226974487
96,0.042,0.33421695,0.025792383,0.8733642101287842
97,0.043,0.39441586,0.056016337,0.916276514530182
98,-0.468,0.023553278,0.016838523,0.8453478813171387
99,0.167,0.42985553,0.05725329,0.8987460732460022
100,-0.042,0.13561769,0.059232414,0.8562530279159546
101,-0.021,0.022256956,0.016587202,0.9479233026504515
102,-0.312,0.027560094,0.009801528,0.6977383494377136
103,-0.25,0.024967449,0.0201057,0.7710546255111694
104,0.109,0.4269174,0.021903414,0.9163649678230286
105,0.375,0.62702215,0.034041706,0.90323805809021
106,-0.125,0.36095104,0.03192045,0.8680971264839172
107,-0.479,0.019351736,0.012440401,0.6369619965553284
108,-0.13,0.20219094,0.015016444,0.7483182549476624
109,-0.375,0.20839658,0.024142517,0.8926863670349121
110,-0.417,0.015519086,-1.0,0.8916662335395813
111,-0.106,0.08953904,0.031684756,0.8710094094276428
112,0.271,0.5566829,0.0466155,0.9229462146759032
113,-0.5,0.034984488,0.044388983,0.833041787147522
114,0.435,0.68408644,0.055768944,0.8286066651344299
115,0.229,0.24603334,0.039935954,0.8891434669494629
116,-0.022,0.3389984,0.040183347,0.8802534937858582
117,0.062,0.5024724,0.09611836,0.7442042231559753
118,-0.375,0.015958898,0.054779384,0.7771256566047668
119,0.125,0.11739369,0.022021262,0.8827930092811584
120,-0.362,0.2854733,0.25462922,0.863528847694397
121,-0.438,0.049336795,0.034513097,0.8726724982261658
122,-0.146,0.10826672,0.026028076,0.78619384765625
123,-0.542,0.03781283,0.03109552,0.8682370185852051
124,0.167,0.27525392,0.11419344,0.8873860239982605
125,0.196,0.52811706,0.036634352,0.8609435558319092
126,-0.271,0.022021262,-1.0,0.9740185737609864
127,0.229,0.19939905,0.049831573,0.8941235542297363
128,0.021,0.32236105,0.09033044,0.868390679359436
129,0.312,0.33421695,0.007288316,0.8272638320922852
130,0.426,0.2648175,0.08479069,0.8437718152999878
131,0.146,0.17198499,0.16098402,0.9162148237228394
132,0.128,0.2854835,0.15932569,0.9182940125465392
133,0.479,0.31825066,0.10870059,0.894098162651062
134,0.146,0.29405528,0.34757367,0.9305825233459472
135,0.229,0.39842087,0.037577134,0.8982724547386169
136,0.271,0.056758508,0.07291982,0.8999865055084229
137,0.213,0.11347008,0.05255287,0.9506855010986328
